200000
50
6761	1883909
7921	3999752
1544	4851250
531	3411380
4629	1578231
421	451334
2497	4034260
9682	2600038
7906	379626
6157	3822112
1752	1194863
6449	4558500
8280	347708
5693	1233133
8355	2243928
1925	1315849
2841	2411962
2792	639789
1601	401055
7644	3670415
2770	3912228
6269	2500143
3252	576766
8963	4856498
2368	1415097
2045	2749986
5914	4269412
1017	4172174
2094	1553953
3150	1899324
830	4113387
4015	3167180
3250	4854636
4131	3626298
2285	1468568
2354	2261089
2838	1620373
5427	623395
50	3519147
793	3258843
551	2290082
7370	1054981
5114	3444766
4693	821986
3999	926556
3423	2347099
73	3331649
6309	2577769
847	789374
8334	4906152
